"state","year","death_rate","gdp","pce","rpp","employment","hc_exp","income","edu_level","diabetes_rate","cardio_rate","smoke_rate","elder_rate","obesity_rate"
"Mississippi",2021,52.8,38716.7894070558,36402.5324231943,86.601,0.5512,6909.17301614532,45965.6372114595,0.248,0.172,0.1,0.177,0.168,39.1
"Missouri",2018,32.9,51323.3827042273,40150.2510036962,91.922,0.6171,7253.41955883268,47451.7787194671,0.295,0.115,0.074,0.194,0.169,35
"Missouri",2019,34.1,52282.6174091167,40287.2832072327,92.561,0.6158,7572.48801941139,48304.0452775984,0.302,0.103,0.074,0.196,0.172,34.8
"Missouri",2020,34.9,51231.1183721542,39156.0738238784,92.219,0.6,7163.57073889202,51003.2989935973,0.319,0.119,0.081,0.162,0.177,34
"Missouri",2021,33,53505.1815911089,42274.0004048738,92.022,0.6153,7892.33337812122,52141.1716349075,0.317,0.127,0.082,0.157,0.176,37.3
"Montana",2018,21.7,46626.4089038481,41452.7678390444,92.356,0.6449,7650.48342313549,47967.4543800352,0.317,0.093,0.068,0.18,0.188,26.9
"Montana",2019,22.6,47080.7782345819,41106.665743494,94.199,0.6419,7996.23495244101,48968.728772486,0.336,0.076,0.067,0.166,0.195,28.3
"Montana",2020,23.8,46141.8025435228,41561.1618333602,91.649,0.6293,7507.76165397972,53240.7607570775,0.346,0.105,0.073,0.142,0.197,28.5
"Montana",2021,24.7,47867.2098945334,45151.4924152095,91.567,0.6474,8275.42629134888,53856.8485491676,0.348,0.099,0.069,0.129,0.197,31.8
"Nebraska",2018,27.4,65196.5554882754,41066.5896695807,91.768,0.6909,7527.41722899813,52885.3653951415,0.324,0.097,0.058,0.16,0.158,34.1
"Nebraska",2019,30.3,65902.2295193155,41010.7381689902,92.382,0.6867,7899.52274804488,54030.7939173122,0.332,0.102,0.058,0.147,0.161,34.1
"Nebraska",2020,32.2,64652.9524997427,39696.337895551,92.454,0.6653,7481.14021813453,56023.003685848,0.333,0.115,0.068,0.127,0.165,34
"Nebraska",2021,29.6,67986.7729637178,43544.4607074723,91.751,0.6796,8395.49103309611,57872.7654039563,0.344,0.111,0.063,0.124,0.164,35.9
"Nevada",2018,23.6,55705.1551179732,38081.5045282312,96.177,0.6107,5996.45035032393,47547.633385205,0.249,0.107,0.07,0.157,0.157,29.5
"Nevada",2019,21.6,57065.713554768,37569.8178923405,98.826,0.6117,6177.7715154687,48343.5254578015,0.257,0.109,0.071,0.157,0.162,30.6
"Nevada",2020,28.7,53213.2962388562,36881.2523109157,97.115,0.5684,5782.93825233146,51467.335206031,0.28,0.118,0.09,0.141,0.165,28.7
"Nevada",2021,26.1,57558.7289863152,40551.4298554349,95.543,0.608,6441.13498529431,54628.8109402422,0.276,0.123,0.074,0.142,0.165,31.3
"New Hampshire",2018,26.4,60784.3571869239,45699.5932661724,103.727,0.6595,8612.26555544473,54722.8779466037,0.368,0.103,0.061,0.156,0.181,29.6
"New Hampshire",2019,27.8,61800.779724515,46212.7613882656,104.061,0.6546,8903.36255277776,57223.9247899002,0.376,0.092,0.055,0.159,0.186,31.8
"New Hampshire",2020,26.1,60338.6656047098,44104.5070060867,105.258,0.6227,8249.67883782453,58742.1758655783,0.402,0.107,0.072,0.125,0.193,29.9
"New Hampshire",2021,23.5,64785.4241966696,47913.3408528258,102.51,0.6449,8970.56226824408,62012.1729291066,0.402,0.106,0.075,0.11,0.193,30.6
"New Jersey",2018,22.7,68297.3770611719,41485.8499722879,111.004,0.6246,7892.49411294701,56138.5433869475,0.408,0.108,0.06,0.131,0.161,25.7
"New Jersey",2019,21.7,69477.3135904546,42097.5119874716,111.239,0.6272,8332.93365712735,58460.6386488017,0.412,NA,NA,NA,0.166,31.7
"New Jersey",2020,22.1,64278.8385158303,39259.1792067227,110.661,0.5737,7645.61882953581,58371.2093880629,0.431,0.108,0.069,0.102,0.17,27.7
"New Jersey",2021,20.6,67869.4375170547,43359.8932926023,109.099,0.6026,8415.40010796334,61233.3824020192,0.431,0.114,0.066,0.103,0.169,28.2
"New Mexico",2018,22.4,45909.6467264702,35876.4414707792,91.658,0.5307,6210.8497898211,41817.0714866293,0.277,0.125,0.062,0.152,0.176,32.3
"New Mexico",2019,21.3,47903.8586360643,35474.2327581314,92.743,0.5326,6443.58695916548,43056.7299479357,0.277,0.123,0.055,0.16,0.18,27.1
"New Mexico",2020,26.6,46031.1368539315,34479.0147234456,91.634,0.5049,6100.67079244143,46039.633872894,0.301,0.13,0.065,0.145,0.185,30.9
"New Mexico",2021,24.6,47041.8018431721,38491.5128760789,89.907,0.5162,6985.24148937226,48525.2119241623,0.301,0.138,0.059,0.131,0.185,34.6
"New York",2018,13.9,85261.4886440085,42090.9793172688,109.573,0.648,8567.42410825079,56705.7192162087,0.372,0.11,0.062,0.128,0.164,27.6
"New York",2019,13.7,87888.8291968756,43112.6722762994,109.583,0.6552,9260.98311769244,58253.0879564929,0.378,0.105,0.06,0.127,0.169,34
"New York",2020,14,82083.8921408358,39257.6277970048,110.104,0.5904,8717.91921105597,58810.7515425474,0.395,0.107,0.079,0.112,0.174,26.3
"New York",2021,13.6,86842.3968142603,42016.9777734268,109.504,0.6158,9596.67514910745,60804.1942053911,0.399,0.124,0.07,0.119,0.175,29.1
"North Carolina",2018,37.9,53611.4756711745,37195.6482685979,92.837,0.5833,6299.56899769448,45729.7539929963,0.319,0.125,0.081,0.174,0.163,33
"North Carolina",2019,36.9,54202.0449111582,38406.3476226926,91.907,0.5863,6551.40633885083,47801.1808448521,0.323,0.118,0.068,0.185,0.167,34.8
"North Carolina",2020,37.5,54050.1816125163,38379.9426668115,91.445,0.5795,6180.7301727508,51263.5838554105,0.348,0.134,0.075,0.151,0.171,33.6
"North Carolina",2021,36.7,56532.5195191884,40474.2432839275,93.805,0.598,7227.86590995454,51876.0614941389,0.349,0.138,0.078,0.129,0.17,36
"North Dakota",2018,33.8,77190.2701561841,45528.4402701562,91.225,0.763,8964.09349936682,57178.1342338539,0.297,0.094,0.066,0.191,0.153,35.1
"North Dakota",2019,37.6,77608.2523469219,44475.7775614058,93.366,0.7629,9681.36450839958,56816.2432977894,0.304,0.089,0.058,0.17,0.158,34.8
"North Dakota",2020,39.7,71453.2570126668,42317.4320541668,92.246,0.719,9058.67471950616,59509.3378215769,0.318,0.109,0.087,0.151,0.161,33.1
"North Dakota",2021,32.8,71215.5529903565,45566.5904819689,91.103,0.7299,10066.5352073569,61204.935123031,0.317,0.113,0.074,0.131,0.16,35.2
"Ohio",2018,34.9,56200.1400952576,39398.5752899817,92.954,0.6053,7720.3038177799,48463.7353431182,0.29,0.122,0.079,0.205,0.171,34
"Ohio",2019,33.6,57671.1124038634,39595.4350634352,93.28,0.605,8213.01896638749,49311.657869297,0.293,0.12,0.075,0.208,0.175,36.8
"Ohio",2020,38,55485.090633902,38726.9287257649,92.102,0.5809,7538.99316271381,52442.0604776412,0.306,0.136,0.095,0.186,0.179,35.5
